name,number,ad_id
"Parc, Jardin et Square",3,ad_506
Salle de musculation / cardiotraining,1,ad_506
Terrain et Salle de sport,7,ad_506
Banque,10,ad_506
Boucherie,4,ad_506
Boulangerie,9,ad_506
Bureau de poste,1,ad_506
Presse et Tabac,4,ad_506
Supérette,5,ad_506
Supermarché et Hypermarché,10,ad_506
Collège,2,ad_506
Ecole maternelle,5,ad_506
Ecole primaire,2,ad_506
Lycée,1,ad_506
Crèche,2,ad_506
Autolib',5,ad_506
Location de vélo,11,ad_506
Parking,2,ad_506
Station de taxi,2,ad_506
Station service,1,ad_506
Vélib',9,ad_506
Médecin généraliste,18,ad_506
Médecin spécialiste,42,ad_506
Pharmacie,11,ad_506
Bar,10,ad_1531
Restaurant,41,ad_1531
Monument historique,16,ad_1531
"Parc, Jardin et Square",36,ad_1531
Salle de musculation / cardiotraining,2,ad_1531
Terrain et Salle de sport,18,ad_1531
Banque,13,ad_1531
Boucherie,6,ad_1531
Boulangerie,22,ad_1531
Bureau de poste,3,ad_1531
Marché de quartier,2,ad_1531
Presse et Tabac,9,ad_1531
Supérette,7,ad_1531
Supermarché et Hypermarché,16,ad_1531
Collège,4,ad_1531
Ecole maternelle,5,ad_1531
Ecole primaire,8,ad_1531
Enseignement supérieur,5,ad_1531
Lycée,5,ad_1531
Crèche,5,ad_1531
Autolib',8,ad_1531
Location de vélo,7,ad_1531
Parking,4,ad_1531
Station de taxi,4,ad_1531
Station service,6,ad_1531
Vélib',10,ad_1531
Médecin généraliste,38,ad_1531
Médecin spécialiste,76,ad_1531
Pharmacie,13,ad_1531
Bar,18,ad_1206
Restaurant,49,ad_1206
Monument historique,4,ad_1206
"Parc, Jardin et Square",3,ad_1206
Terrain et Salle de sport,8,ad_1206
Banque,7,ad_1206
Boucherie,5,ad_1206
Boulangerie,14,ad_1206
Bureau de poste,2,ad_1206
Marché de quartier,1,ad_1206
Presse et Tabac,2,ad_1206
Supérette,8,ad_1206
Supermarché et Hypermarché,13,ad_1206
Ecole maternelle,2,ad_1206
Ecole primaire,5,ad_1206
Enseignement supérieur,6,ad_1206
Crèche,6,ad_1206
Autolib',3,ad_1206
Location de vélo,6,ad_1206
Parking,1,ad_1206
Station de taxi,2,ad_1206
Vélib',9,ad_1206
Médecin généraliste,23,ad_1206
Médecin spécialiste,49,ad_1206
Pharmacie,15,ad_1206
Bar,6,ad_305
Restaurant,28,ad_305
Monument historique,3,ad_305
Théâtre,3,ad_305
Cinéma,2,ad_305
"Parc, Jardin et Square",3,ad_305
Terrain et Salle de sport,5,ad_305
Banque,1,ad_305
Boucherie,1,ad_305
Boulangerie,5,ad_305
Marché de quartier,2,ad_305
Supérette,3,ad_305
Supermarché et Hypermarché,6,ad_305
Collège,5,ad_305
Ecole maternelle,3,ad_305
Ecole primaire,7,ad_305
Enseignement supérieur,3,ad_305
Lycée,1,ad_305
Crèche,12,ad_305
Autolib',3,ad_305
Location de vélo,7,ad_305
Vélib',8,ad_305
Médecin généraliste,24,ad_305
Médecin spécialiste,9,ad_305
Pharmacie,5,ad_305
Bar,4,ad_777
Restaurant,31,ad_777
Monument historique,1,ad_777
Théâtre,2,ad_777
"Parc, Jardin et Square",5,ad_777
Terrain et Salle de sport,7,ad_777
Banque,3,ad_777
Boucherie,3,ad_777
Boulangerie,10,ad_777
Bureau de poste,2,ad_777
Marché de quartier,1,ad_777
Supérette,5,ad_777
Supermarché et Hypermarché,7,ad_777
Collège,4,ad_777
Ecole maternelle,3,ad_777
Ecole primaire,7,ad_777
Lycée,4,ad_777
Crèche,8,ad_777
Autolib',4,ad_777
Location de vélo,6,ad_777
Station de taxi,1,ad_777
Vélib',7,ad_777
Médecin généraliste,21,ad_777
Médecin spécialiste,56,ad_777
Pharmacie,8,ad_777
Bar,11,ad_1922
Restaurant,30,ad_1922
Monument historique,66,ad_1922
Théâtre,1,ad_1922
Cinéma,4,ad_1922
"Parc, Jardin et Square",2,ad_1922
Salle de musculation / cardiotraining,1,ad_1922
Terrain et Salle de sport,5,ad_1922
Banque,4,ad_1922
Boucherie,2,ad_1922
Boulangerie,6,ad_1922
Bureau de poste,2,ad_1922
Marché de quartier,1,ad_1922
Presse et Tabac,5,ad_1922
Supérette,2,ad_1922
Supermarché et Hypermarché,1,ad_1922
Collège,2,ad_1922
Ecole primaire,1,ad_1922
Enseignement supérieur,3,ad_1922
Lycée,3,ad_1922
Crèche,5,ad_1922
Autolib',2,ad_1922
Location de vélo,4,ad_1922
Parking,3,ad_1922
Station de taxi,3,ad_1922
Vélib',4,ad_1922
Médecin généraliste,8,ad_1922
Médecin spécialiste,23,ad_1922
Pharmacie,4,ad_1922
Bar,26,ad_2015
Restaurant,73,ad_2015
Monument historique,12,ad_2015
Théâtre,3,ad_2015
"Parc, Jardin et Square",5,ad_2015
Salle de musculation / cardiotraining,1,ad_2015
Terrain et Salle de sport,10,ad_2015
Banque,18,ad_2015
Boucherie,4,ad_2015
Boulangerie,18,ad_2015
Bureau de poste,2,ad_2015
Marché de quartier,1,ad_2015
Presse et Tabac,4,ad_2015
Supérette,14,ad_2015
Supermarché et Hypermarché,18,ad_2015
Collège,1,ad_2015
Ecole maternelle,3,ad_2015
Ecole primaire,5,ad_2015
Enseignement supérieur,7,ad_2015
Crèche,6,ad_2015
Autolib',7,ad_2015
Location de vélo,16,ad_2015
Parking,1,ad_2015
Station de taxi,1,ad_2015
Vélib',16,ad_2015
Hôpital,1,ad_2015
Médecin généraliste,43,ad_2015
Médecin spécialiste,31,ad_2015
Pharmacie,20,ad_2015
Bar,18,ad_923
Restaurant,49,ad_923
Monument historique,4,ad_923
"Parc, Jardin et Square",3,ad_923
Terrain et Salle de sport,8,ad_923
Banque,7,ad_923
Boucherie,5,ad_923
Boulangerie,14,ad_923
Bureau de poste,2,ad_923
Marché de quartier,1,ad_923
Presse et Tabac,2,ad_923
Supérette,8,ad_923
Supermarché et Hypermarché,13,ad_923
Ecole maternelle,2,ad_923
Ecole primaire,5,ad_923
Enseignement supérieur,6,ad_923
Crèche,6,ad_923
Autolib',3,ad_923
Location de vélo,6,ad_923
Parking,1,ad_923
Station de taxi,2,ad_923
Vélib',9,ad_923
Médecin généraliste,23,ad_923
Médecin spécialiste,49,ad_923
Pharmacie,15,ad_923
Bar,5,ad_341
Restaurant,16,ad_341
Monument historique,1,ad_341
Théâtre,1,ad_341
"Parc, Jardin et Square",13,ad_341
Terrain et Salle de sport,15,ad_341
Banque,5,ad_341
Boucherie,3,ad_341
Boulangerie,14,ad_341
Bureau de poste,3,ad_341
Marché de quartier,2,ad_341
Presse et Tabac,1,ad_341
Supérette,7,ad_341
Supermarché et Hypermarché,10,ad_341
Collège,3,ad_341
Ecole maternelle,4,ad_341
Ecole primaire,6,ad_341
Enseignement supérieur,5,ad_341
Lycée,3,ad_341
Crèche,11,ad_341
Autolib',4,ad_341
Gare ferroviaire,1,ad_341
Location de vélo,6,ad_341
Parking,1,ad_341
Station de taxi,2,ad_341
Station service,1,ad_341
Vélib',7,ad_341
Hôpital,2,ad_341
Médecin généraliste,27,ad_341
Médecin spécialiste,9,ad_341
Pharmacie,9,ad_341
Bar,5,ad_245
Restaurant,38,ad_245
Monument historique,5,ad_245
Cinéma,1,ad_245
"Parc, Jardin et Square",7,ad_245
Terrain et Salle de sport,9,ad_245
Banque,4,ad_245
Boucherie,2,ad_245
Boulangerie,13,ad_245
Bureau de poste,1,ad_245
Marché de quartier,1,ad_245
Presse et Tabac,2,ad_245
Supérette,5,ad_245
Supermarché et Hypermarché,7,ad_245
Collège,4,ad_245
Ecole maternelle,5,ad_245
Ecole primaire,6,ad_245
Enseignement supérieur,1,ad_245
Lycée,4,ad_245
Crèche,10,ad_245
Ludothèque,1,ad_245
Autolib',3,ad_245
Location de vélo,5,ad_245
Station de taxi,1,ad_245
Station service,1,ad_245
Vélib',10,ad_245
Médecin généraliste,31,ad_245
Médecin spécialiste,21,ad_245
Pharmacie,9,ad_245
Bar,2,ad_579
Restaurant,21,ad_579
Monument historique,2,ad_579
"Parc, Jardin et Square",3,ad_579
Terrain et Salle de sport,3,ad_579
Banque,6,ad_579
Boucherie,5,ad_579
Boulangerie,10,ad_579
Presse et Tabac,1,ad_579
Supérette,6,ad_579
Supermarché et Hypermarché,12,ad_579
Collège,2,ad_579
Ecole primaire,3,ad_579
Enseignement supérieur,4,ad_579
Lycée,2,ad_579
Crèche,1,ad_579
Autolib',3,ad_579
Location de vélo,5,ad_579
Vélib',5,ad_579
Médecin généraliste,28,ad_579
Médecin spécialiste,11,ad_579
Pharmacie,7,ad_579
Bar,4,ad_998
Restaurant,31,ad_998
Monument historique,1,ad_998
Théâtre,2,ad_998
"Parc, Jardin et Square",5,ad_998
Terrain et Salle de sport,7,ad_998
Banque,3,ad_998
Boucherie,3,ad_998
Boulangerie,10,ad_998
Bureau de poste,2,ad_998
Marché de quartier,1,ad_998
Supérette,5,ad_998
Supermarché et Hypermarché,7,ad_998
Collège,4,ad_998
Ecole maternelle,3,ad_998
Ecole primaire,7,ad_998
Lycée,4,ad_998
Crèche,8,ad_998
Autolib',4,ad_998
Location de vélo,6,ad_998
Station de taxi,1,ad_998
Vélib',7,ad_998
Médecin généraliste,21,ad_998
Médecin spécialiste,56,ad_998
Pharmacie,8,ad_998
Bar,14,ad_1772
Restaurant,18,ad_1772
"Parc, Jardin et Square",1,ad_1772
Terrain et Salle de sport,4,ad_1772
Banque,4,ad_1772
Boucherie,3,ad_1772
Boulangerie,8,ad_1772
Presse et Tabac,1,ad_1772
Supérette,5,ad_1772
Supermarché et Hypermarché,7,ad_1772
Collège,1,ad_1772
Ecole maternelle,3,ad_1772
Ecole primaire,5,ad_1772
Lycée,1,ad_1772
Crèche,8,ad_1772
Autolib',5,ad_1772
Location de vélo,3,ad_1772
Parking,1,ad_1772
Vélib',3,ad_1772
Médecin généraliste,15,ad_1772
Médecin spécialiste,6,ad_1772
Pharmacie,9,ad_1772
Bar,4,ad_1576
Restaurant,31,ad_1576
Monument historique,1,ad_1576
Théâtre,2,ad_1576
"Parc, Jardin et Square",5,ad_1576
Terrain et Salle de sport,7,ad_1576
Banque,3,ad_1576
Boucherie,3,ad_1576
Boulangerie,10,ad_1576
Bureau de poste,2,ad_1576
Marché de quartier,1,ad_1576
Supérette,5,ad_1576
Supermarché et Hypermarché,7,ad_1576
Collège,4,ad_1576
Ecole maternelle,3,ad_1576
Ecole primaire,7,ad_1576
Lycée,4,ad_1576
Crèche,8,ad_1576
Autolib',4,ad_1576
Location de vélo,6,ad_1576
Station de taxi,1,ad_1576
Vélib',7,ad_1576
Médecin généraliste,21,ad_1576
Médecin spécialiste,56,ad_1576
Pharmacie,8,ad_1576
Bar,4,ad_2113
Restaurant,54,ad_2113
Monument historique,5,ad_2113
Théâtre,1,ad_2113
"Parc, Jardin et Square",2,ad_2113
Terrain et Salle de sport,4,ad_2113
Banque,11,ad_2113
Boucherie,6,ad_2113
Boulangerie,9,ad_2113
Bureau de poste,2,ad_2113
Marché de quartier,1,ad_2113
Presse et Tabac,9,ad_2113
Supérette,6,ad_2113
Supermarché et Hypermarché,9,ad_2113
Collège,2,ad_2113
Ecole maternelle,1,ad_2113
Ecole primaire,2,ad_2113
Enseignement supérieur,1,ad_2113
Lycée,4,ad_2113
Crèche,2,ad_2113
Autolib',6,ad_2113
Location de vélo,9,ad_2113
Parking,2,ad_2113
Station de taxi,3,ad_2113
Station service,2,ad_2113
Vélib',9,ad_2113
Médecin généraliste,75,ad_2113
Médecin spécialiste,152,ad_2113
Pharmacie,17,ad_2113
Bar,6,ad_1796
Restaurant,17,ad_1796
Monument historique,7,ad_1796
Théâtre,1,ad_1796
Cinéma,4,ad_1796
"Parc, Jardin et Square",1,ad_1796
Terrain et Salle de sport,6,ad_1796
Banque,4,ad_1796
Boulangerie,7,ad_1796
Presse et Tabac,5,ad_1796
Supérette,1,ad_1796
Supermarché et Hypermarché,1,ad_1796
Collège,3,ad_1796
Ecole primaire,3,ad_1796
Enseignement supérieur,9,ad_1796
Lycée,3,ad_1796
Autolib',5,ad_1796
Location de vélo,6,ad_1796
Parking,1,ad_1796
Vélib',6,ad_1796
Médecin généraliste,15,ad_1796
Médecin spécialiste,14,ad_1796
Pharmacie,3,ad_1796
Bar,15,ad_2091
Restaurant,64,ad_2091
Monument historique,3,ad_2091
Théâtre,1,ad_2091
"Parc, Jardin et Square",3,ad_2091
Terrain et Salle de sport,8,ad_2091
Banque,4,ad_2091
Boucherie,8,ad_2091
Boulangerie,23,ad_2091
Bureau de poste,3,ad_2091
Marché de quartier,2,ad_2091
Presse et Tabac,2,ad_2091
Supérette,12,ad_2091
Supermarché et Hypermarché,18,ad_2091
Collège,3,ad_2091
Ecole maternelle,7,ad_2091
Ecole primaire,9,ad_2091
Enseignement supérieur,2,ad_2091
Lycée,1,ad_2091
Crèche,12,ad_2091
Autolib',7,ad_2091
Location de vélo,14,ad_2091
Parking,1,ad_2091
Station de taxi,2,ad_2091
Vélib',13,ad_2091
Médecin généraliste,43,ad_2091
Médecin spécialiste,27,ad_2091
Pharmacie,20,ad_2091
Bar,6,ad_707
Restaurant,61,ad_707
Monument historique,6,ad_707
Théâtre,1,ad_707
"Parc, Jardin et Square",7,ad_707
Salle de musculation / cardiotraining,1,ad_707
Terrain et Salle de sport,14,ad_707
Banque,8,ad_707
Boucherie,5,ad_707
Boulangerie,9,ad_707
Bureau de poste,2,ad_707
Marché de quartier,1,ad_707
Presse et Tabac,3,ad_707
Supérette,6,ad_707
Supermarché et Hypermarché,10,ad_707
Collège,1,ad_707
Ecole maternelle,3,ad_707
Ecole primaire,5,ad_707
Enseignement supérieur,7,ad_707
Lycée,4,ad_707
Crèche,8,ad_707
Autolib',5,ad_707
Location de vélo,12,ad_707
Parking,2,ad_707
Station service,3,ad_707
Vélib',14,ad_707
Médecin généraliste,29,ad_707
Médecin spécialiste,48,ad_707
Pharmacie,15,ad_707
Bar,3,ad_1638
Restaurant,25,ad_1638
Monument historique,1,ad_1638
"Parc, Jardin et Square",6,ad_1638
Terrain et Salle de sport,6,ad_1638
Banque,8,ad_1638
Boucherie,1,ad_1638
Boulangerie,5,ad_1638
Presse et Tabac,1,ad_1638
Supérette,2,ad_1638
Supermarché et Hypermarché,9,ad_1638
Collège,3,ad_1638
Ecole maternelle,3,ad_1638
Ecole primaire,5,ad_1638
Enseignement supérieur,2,ad_1638
Lycée,2,ad_1638
Crèche,3,ad_1638
Ludothèque,1,ad_1638
Autolib',4,ad_1638
Location de vélo,8,ad_1638
Station service,2,ad_1638
Vélib',10,ad_1638
Médecin généraliste,19,ad_1638
Médecin spécialiste,21,ad_1638
Pharmacie,7,ad_1638
Bar,26,ad_1151
Restaurant,73,ad_1151
Monument historique,12,ad_1151
Théâtre,3,ad_1151
"Parc, Jardin et Square",5,ad_1151
Salle de musculation / cardiotraining,1,ad_1151
Terrain et Salle de sport,10,ad_1151
Banque,18,ad_1151
Boucherie,4,ad_1151
Boulangerie,18,ad_1151
Bureau de poste,2,ad_1151
Marché de quartier,1,ad_1151
Presse et Tabac,4,ad_1151
Supérette,14,ad_1151
Supermarché et Hypermarché,18,ad_1151
Collège,1,ad_1151
Ecole maternelle,3,ad_1151
Ecole primaire,5,ad_1151
Enseignement supérieur,7,ad_1151
Crèche,6,ad_1151
Autolib',7,ad_1151
Location de vélo,16,ad_1151
Parking,1,ad_1151
Station de taxi,1,ad_1151
Vélib',16,ad_1151
Hôpital,1,ad_1151
Médecin généraliste,43,ad_1151
Médecin spécialiste,31,ad_1151
Pharmacie,20,ad_1151
Bar,3,ad_1936
Restaurant,17,ad_1936
Monument historique,1,ad_1936
Théâtre,1,ad_1936
"Parc, Jardin et Square",9,ad_1936
Salle de musculation / cardiotraining,3,ad_1936
Terrain et Salle de sport,14,ad_1936
Banque,6,ad_1936
Boucherie,5,ad_1936
Boulangerie,10,ad_1936
Bureau de poste,1,ad_1936
Marché de quartier,2,ad_1936
Presse et Tabac,2,ad_1936
Supérette,5,ad_1936
Supermarché et Hypermarché,6,ad_1936
Collège,3,ad_1936
Ecole maternelle,3,ad_1936
Ecole primaire,6,ad_1936
Enseignement supérieur,1,ad_1936
Lycée,1,ad_1936
Crèche,7,ad_1936
Autolib',5,ad_1936
Location de vélo,9,ad_1936
Parking,3,ad_1936
Station service,5,ad_1936
Vélib',10,ad_1936
Médecin généraliste,31,ad_1936
Médecin spécialiste,52,ad_1936
Pharmacie,6,ad_1936
Bar,4,ad_1878
Restaurant,54,ad_1878
Monument historique,5,ad_1878
Théâtre,1,ad_1878
"Parc, Jardin et Square",2,ad_1878
Terrain et Salle de sport,4,ad_1878
Banque,11,ad_1878
Boucherie,6,ad_1878
Boulangerie,9,ad_1878
Bureau de poste,2,ad_1878
Marché de quartier,1,ad_1878
Presse et Tabac,9,ad_1878
Supérette,6,ad_1878
Supermarché et Hypermarché,9,ad_1878
Collège,2,ad_1878
Ecole maternelle,1,ad_1878
Ecole primaire,2,ad_1878
Enseignement supérieur,1,ad_1878
Lycée,4,ad_1878
Crèche,2,ad_1878
Autolib',6,ad_1878
Location de vélo,9,ad_1878
Parking,2,ad_1878
Station de taxi,3,ad_1878
Station service,2,ad_1878
Vélib',9,ad_1878
Médecin généraliste,75,ad_1878
Médecin spécialiste,152,ad_1878
Pharmacie,17,ad_1878
Bar,15,ad_2092
Restaurant,64,ad_2092
Monument historique,3,ad_2092
Théâtre,1,ad_2092
"Parc, Jardin et Square",3,ad_2092
Terrain et Salle de sport,8,ad_2092
Banque,4,ad_2092
Boucherie,8,ad_2092
Boulangerie,23,ad_2092
Bureau de poste,3,ad_2092
Marché de quartier,2,ad_2092
Presse et Tabac,2,ad_2092
Supérette,12,ad_2092
Supermarché et Hypermarché,18,ad_2092
Collège,3,ad_2092
Ecole maternelle,7,ad_2092
Ecole primaire,9,ad_2092
Enseignement supérieur,2,ad_2092
Lycée,1,ad_2092
Crèche,12,ad_2092
Autolib',7,ad_2092
Location de vélo,14,ad_2092
Parking,1,ad_2092
Station de taxi,2,ad_2092
Vélib',13,ad_2092
Médecin généraliste,43,ad_2092
Médecin spécialiste,27,ad_2092
Pharmacie,20,ad_2092
Bar,6,ad_809
Restaurant,37,ad_809
Monument historique,2,ad_809
Théâtre,7,ad_809
"Parc, Jardin et Square",9,ad_809
Terrain et Salle de sport,9,ad_809
Banque,7,ad_809
Boucherie,3,ad_809
Boulangerie,6,ad_809
Bureau de poste,1,ad_809
Marché de quartier,1,ad_809
Presse et Tabac,5,ad_809
Supérette,3,ad_809
Supermarché et Hypermarché,8,ad_809
Collège,2,ad_809
Ecole maternelle,4,ad_809
Ecole primaire,2,ad_809
Enseignement supérieur,3,ad_809
Crèche,10,ad_809
Ludothèque,1,ad_809
Autolib',4,ad_809
Gare ferroviaire,1,ad_809
Location de vélo,7,ad_809
Station service,3,ad_809
Vélib',8,ad_809
Médecin généraliste,18,ad_809
Médecin spécialiste,27,ad_809
Pharmacie,6,ad_809
Bar,18,ad_905
Restaurant,49,ad_905
Monument historique,4,ad_905
"Parc, Jardin et Square",3,ad_905
Terrain et Salle de sport,8,ad_905
Banque,7,ad_905
Boucherie,5,ad_905
Boulangerie,14,ad_905
Bureau de poste,2,ad_905
Marché de quartier,1,ad_905
Presse et Tabac,2,ad_905
Supérette,8,ad_905
Supermarché et Hypermarché,13,ad_905
Ecole maternelle,2,ad_905
Ecole primaire,5,ad_905
Enseignement supérieur,6,ad_905
Crèche,6,ad_905
Autolib',3,ad_905
Location de vélo,6,ad_905
Parking,1,ad_905
Station de taxi,2,ad_905
Vélib',9,ad_905
Médecin généraliste,23,ad_905
Médecin spécialiste,49,ad_905
Pharmacie,15,ad_905
Bar,10,ad_407
Restaurant,16,ad_407
Monument historique,15,ad_407
Cinéma,2,ad_407
"Parc, Jardin et Square",1,ad_407
Banque,2,ad_407
Boulangerie,2,ad_407
Presse et Tabac,4,ad_407
Supérette,1,ad_407
Supermarché et Hypermarché,4,ad_407
Collège,1,ad_407
Ecole maternelle,1,ad_407
Ecole primaire,3,ad_407
Enseignement supérieur,2,ad_407
Lycée,4,ad_407
Crèche,3,ad_407
Autolib',3,ad_407
Location de vélo,4,ad_407
Parking,1,ad_407
Station de taxi,1,ad_407
Vélib',5,ad_407
Médecin généraliste,6,ad_407
Médecin spécialiste,8,ad_407
Pharmacie,3,ad_407
Bar,5,ad_150
Restaurant,16,ad_150
Monument historique,2,ad_150
"Parc, Jardin et Square",1,ad_150
Terrain et Salle de sport,10,ad_150
Banque,3,ad_150
Boulangerie,7,ad_150
Bureau de poste,2,ad_150
Presse et Tabac,3,ad_150
Supérette,4,ad_150
Supermarché et Hypermarché,5,ad_150
Collège,2,ad_150
Ecole maternelle,8,ad_150
Ecole primaire,7,ad_150
Lycée,1,ad_150
Crèche,8,ad_150
Autolib',5,ad_150
Location de vélo,2,ad_150
Vélib',3,ad_150
Médecin généraliste,16,ad_150
Médecin spécialiste,10,ad_150
Pharmacie,5,ad_150
Bar,18,ad_1876
Restaurant,49,ad_1876
Monument historique,4,ad_1876
"Parc, Jardin et Square",3,ad_1876
Terrain et Salle de sport,8,ad_1876
Banque,7,ad_1876
Boucherie,5,ad_1876
Boulangerie,14,ad_1876
Bureau de poste,2,ad_1876
Marché de quartier,1,ad_1876
Presse et Tabac,2,ad_1876
Supérette,8,ad_1876
Supermarché et Hypermarché,13,ad_1876
Ecole maternelle,2,ad_1876
Ecole primaire,5,ad_1876
Enseignement supérieur,6,ad_1876
Crèche,6,ad_1876
Autolib',3,ad_1876
Location de vélo,6,ad_1876
Parking,1,ad_1876
Station de taxi,2,ad_1876
Vélib',9,ad_1876
Médecin généraliste,23,ad_1876
Médecin spécialiste,49,ad_1876
Pharmacie,15,ad_1876
Bar,10,ad_593
Restaurant,41,ad_593
Monument historique,16,ad_593
"Parc, Jardin et Square",36,ad_593
Salle de musculation / cardiotraining,2,ad_593
Terrain et Salle de sport,18,ad_593
Banque,13,ad_593
Boucherie,6,ad_593
Boulangerie,22,ad_593
Bureau de poste,3,ad_593
Marché de quartier,2,ad_593
Presse et Tabac,9,ad_593
Supérette,7,ad_593
Supermarché et Hypermarché,16,ad_593
Collège,4,ad_593
Ecole maternelle,5,ad_593
Ecole primaire,8,ad_593
Enseignement supérieur,5,ad_593
Lycée,5,ad_593
Crèche,5,ad_593
Autolib',8,ad_593
Location de vélo,7,ad_593
Parking,4,ad_593
Station de taxi,4,ad_593
Station service,6,ad_593
Vélib',10,ad_593
Médecin généraliste,38,ad_593
Médecin spécialiste,76,ad_593
Pharmacie,13,ad_593
Bar,23,ad_488
Restaurant,57,ad_488
Monument historique,16,ad_488
Théâtre,3,ad_488
Cinéma,3,ad_488
"Parc, Jardin et Square",4,ad_488
Terrain et Salle de sport,19,ad_488
Banque,9,ad_488
Boucherie,1,ad_488
Boulangerie,9,ad_488
Bureau de poste,3,ad_488
Presse et Tabac,4,ad_488
Supérette,8,ad_488
Supermarché et Hypermarché,20,ad_488
Collège,2,ad_488
Ecole maternelle,5,ad_488
Ecole primaire,6,ad_488
Enseignement supérieur,9,ad_488
Lycée,3,ad_488
Crèche,7,ad_488
Autolib',8,ad_488
Location de vélo,8,ad_488
Parking,1,ad_488
Station service,1,ad_488
Vélib',10,ad_488
Médecin généraliste,27,ad_488
Médecin spécialiste,38,ad_488
Pharmacie,15,ad_488
Bar,19,ad_1408
Restaurant,36,ad_1408
Monument historique,5,ad_1408
Théâtre,1,ad_1408
"Parc, Jardin et Square",5,ad_1408
Terrain et Salle de sport,9,ad_1408
Banque,3,ad_1408
Boucherie,3,ad_1408
Boulangerie,8,ad_1408
Bureau de poste,2,ad_1408
Marché de quartier,2,ad_1408
Presse et Tabac,3,ad_1408
Supérette,6,ad_1408
Supermarché et Hypermarché,15,ad_1408
Collège,1,ad_1408
Ecole maternelle,6,ad_1408
Ecole primaire,7,ad_1408
Enseignement supérieur,3,ad_1408
Lycée,3,ad_1408
Crèche,10,ad_1408
Ludothèque,1,ad_1408
Autolib',7,ad_1408
Location de vélo,13,ad_1408
Station de taxi,2,ad_1408
Vélib',13,ad_1408
Médecin généraliste,21,ad_1408
Médecin spécialiste,3,ad_1408
Pharmacie,10,ad_1408
Bar,3,ad_347
Restaurant,13,ad_347
"Parc, Jardin et Square",3,ad_347
Terrain et Salle de sport,5,ad_347
Banque,6,ad_347
Boucherie,1,ad_347
Boulangerie,2,ad_347
Bureau de poste,1,ad_347
Presse et Tabac,1,ad_347
Supérette,2,ad_347
Supermarché et Hypermarché,3,ad_347
Collège,4,ad_347
Ecole maternelle,2,ad_347
Ecole primaire,2,ad_347
Enseignement supérieur,8,ad_347
Lycée,1,ad_347
Crèche,6,ad_347
Autolib',3,ad_347
Location de vélo,5,ad_347
Station de taxi,1,ad_347
Station service,5,ad_347
Vélib',5,ad_347
Médecin généraliste,11,ad_347
Médecin spécialiste,4,ad_347
Pharmacie,5,ad_347
Bar,2,ad_578
Restaurant,21,ad_578
Monument historique,2,ad_578
"Parc, Jardin et Square",3,ad_578
Terrain et Salle de sport,3,ad_578
Banque,6,ad_578
Boucherie,5,ad_578
Boulangerie,10,ad_578
Presse et Tabac,1,ad_578
Supérette,6,ad_578
Supermarché et Hypermarché,12,ad_578
Collège,2,ad_578
Ecole primaire,3,ad_578
Enseignement supérieur,4,ad_578
Lycée,2,ad_578
Crèche,1,ad_578
Autolib',3,ad_578
Location de vélo,5,ad_578
Vélib',5,ad_578
Médecin généraliste,28,ad_578
Médecin spécialiste,11,ad_578
Pharmacie,7,ad_578
Bar,4,ad_1332
Restaurant,23,ad_1332
Monument historique,1,ad_1332
Théâtre,2,ad_1332
"Parc, Jardin et Square",3,ad_1332
Salle de musculation / cardiotraining,1,ad_1332
Terrain et Salle de sport,13,ad_1332
Banque,7,ad_1332
Boucherie,4,ad_1332
Boulangerie,12,ad_1332
Bureau de poste,1,ad_1332
Presse et Tabac,2,ad_1332
Supérette,7,ad_1332
Supermarché et Hypermarché,12,ad_1332
Collège,3,ad_1332
Ecole maternelle,5,ad_1332
Ecole primaire,4,ad_1332
Enseignement supérieur,1,ad_1332
Lycée,2,ad_1332
Crèche,5,ad_1332
Location de vélo,7,ad_1332
Station de taxi,1,ad_1332
Vélib',7,ad_1332
Médecin généraliste,13,ad_1332
Médecin spécialiste,21,ad_1332
Pharmacie,9,ad_1332
Bar,18,ad_2086
Restaurant,49,ad_2086
Monument historique,4,ad_2086
"Parc, Jardin et Square",3,ad_2086
Terrain et Salle de sport,8,ad_2086
Banque,7,ad_2086
Boucherie,5,ad_2086
Boulangerie,14,ad_2086
Bureau de poste,2,ad_2086
Marché de quartier,1,ad_2086
Presse et Tabac,2,ad_2086
Supérette,8,ad_2086
Supermarché et Hypermarché,13,ad_2086
Ecole maternelle,2,ad_2086
Ecole primaire,5,ad_2086
Enseignement supérieur,6,ad_2086
Crèche,6,ad_2086
Autolib',3,ad_2086
Location de vélo,6,ad_2086
Parking,1,ad_2086
Station de taxi,2,ad_2086
Vélib',9,ad_2086
Médecin généraliste,23,ad_2086
Médecin spécialiste,49,ad_2086
Pharmacie,15,ad_2086
Bar,5,ad_1227
Restaurant,19,ad_1227
"Parc, Jardin et Square",1,ad_1227
Terrain et Salle de sport,11,ad_1227
Boucherie,1,ad_1227
Boulangerie,5,ad_1227
Bureau de poste,1,ad_1227
Marché de quartier,1,ad_1227
Supermarché et Hypermarché,3,ad_1227
Collège,2,ad_1227
Ecole maternelle,4,ad_1227
Ecole primaire,4,ad_1227
Lycée,6,ad_1227
Crèche,5,ad_1227
Autolib',1,ad_1227
Location de vélo,11,ad_1227
Station de taxi,3,ad_1227
Station service,5,ad_1227
Vélib',7,ad_1227
Médecin généraliste,4,ad_1227
Pharmacie,5,ad_1227
Bar,10,ad_878
