name,number,ad_id
Médecin spécialiste,14,ad_3
Pharmacie,3,ad_3
Bar,5,ad_1769
Restaurant,24,ad_1769
Monument historique,3,ad_1769
Théâtre,1,ad_1769
"Parc, Jardin et Square",6,ad_1769
Salle de musculation / cardiotraining,1,ad_1769
Terrain et Salle de sport,6,ad_1769
Banque,10,ad_1769
Boucherie,3,ad_1769
Boulangerie,9,ad_1769
Bureau de poste,1,ad_1769
Marché de quartier,1,ad_1769
Presse et Tabac,1,ad_1769
Supérette,9,ad_1769
Supermarché et Hypermarché,13,ad_1769
Collège,1,ad_1769
Ecole maternelle,3,ad_1769
Ecole primaire,2,ad_1769
Enseignement supérieur,2,ad_1769
Lycée,3,ad_1769
Crèche,8,ad_1769
Autolib',3,ad_1769
Location de vélo,5,ad_1769
Vélib',7,ad_1769
Médecin généraliste,23,ad_1769
Médecin spécialiste,24,ad_1769
Pharmacie,9,ad_1769
Bar,4,ad_196
Restaurant,19,ad_196
Monument historique,2,ad_196
Théâtre,1,ad_196
"Parc, Jardin et Square",6,ad_196
Terrain et Salle de sport,6,ad_196
Banque,6,ad_196
Boucherie,2,ad_196
Boulangerie,7,ad_196
Bureau de poste,2,ad_196
Marché de quartier,1,ad_196
Presse et Tabac,3,ad_196
Supérette,5,ad_196
Supermarché et Hypermarché,7,ad_196
Collège,8,ad_196
Ecole maternelle,3,ad_196
Ecole primaire,9,ad_196
Enseignement supérieur,2,ad_196
Lycée,2,ad_196
Crèche,3,ad_196
Ludothèque,2,ad_196
Autolib',3,ad_196
Location de vélo,7,ad_196
Vélib',6,ad_196
Médecin généraliste,20,ad_196
Médecin spécialiste,7,ad_196
Pharmacie,11,ad_196
Bar,5,ad_996
Restaurant,24,ad_996
Monument historique,1,ad_996
Théâtre,1,ad_996
Cinéma,2,ad_996
"Parc, Jardin et Square",5,ad_996
Salle de musculation / cardiotraining,2,ad_996
Terrain et Salle de sport,11,ad_996
Banque,6,ad_996
Boucherie,2,ad_996
Boulangerie,4,ad_996
Bureau de poste,1,ad_996
Marché de quartier,2,ad_996
Presse et Tabac,1,ad_996
Supérette,6,ad_996
Supermarché et Hypermarché,11,ad_996
Collège,3,ad_996
Ecole maternelle,6,ad_996
Ecole primaire,9,ad_996
Lycée,3,ad_996
Crèche,7,ad_996
Ludothèque,2,ad_996
Autolib',5,ad_996
Location de vélo,9,ad_996
Parking,2,ad_996
Station de taxi,4,ad_996
Vélib',8,ad_996
Médecin généraliste,22,ad_996
Médecin spécialiste,8,ad_996
Pharmacie,5,ad_996
Bar,15,ad_1475
Restaurant,64,ad_1475
