ad_id,value
ad_1879,Chauffage : Radiateur Gaz 
ad_1879,1 cave
ad_1879,Fibre : déployée*
ad_1879,Ascenseur
ad_1879,Digicode
ad_1879,Interphone
ad_1879,Gardien
ad_183,"117,42 m²"
ad_183,5 pièces
ad_183,4 chambres
ad_183,Exposé Nord Sud
ad_183,Cheminée
ad_183,1 salle de bain
ad_183,1 salle d’eau
ad_183,2 WC
ad_183,4e étage
ad_79,70 m²
ad_79,2 pièces
ad_79,1 chambre
ad_79,Récent
ad_79,Exposé Ouest
ad_79,Chauffage : collectif 
ad_79,1 salle de bain
ad_79,1 WC
ad_79,Fibre : déployée*
ad_79,Calme
ad_79,8 étages
ad_79,Construit en 1961
ad_79,Ascenseur
ad_79,Digicode
ad_79,Interphone
ad_79,Gardien
ad_1667,92 m²
ad_1667,3 pièces
ad_1667,2 chambres
ad_1667,1 salle de bain
ad_1667,Fibre : déployée*
ad_1667,Ascenseur
ad_847,"73,29 m²"
ad_847,3 pièces
ad_847,2 chambres
ad_847,Récent
ad_847,1 terrasse
ad_847,Exposé Ouest
ad_847,Cave
ad_847,1 salle de bain
ad_847,1 WC
ad_847,Fibre : déployée*
ad_847,Aménagement pour Handicapés
ad_847,1 box
ad_847,1er étage (sur 7)
ad_847,Construit en 1990
ad_847,Ascenseur
ad_847,Digicode
ad_847,Interphone
ad_847,Gardien
ad_1892,"73,50 m²"
ad_1892,3 pièces
ad_1892,2 chambres
ad_1892,2 balcons
ad_1892,Chauffage : individuel 
ad_1892,1 salle d’eau
ad_1892,2 WC
ad_1892,Fibre : déployée*
ad_1892,Calme
ad_1892,Climatisation
ad_1892,Rez-de-chaussée
ad_1414,40 m²
ad_1414,2 pièces
ad_1414,1 chambre
ad_1414,Fibre : déployée*
ad_1414,4e étage
ad_1369,"39,60 m²"
ad_1369,2 pièces
ad_1369,1 chambre
ad_1369,Fibre : déployée*
ad_1369,2e étage (sur 4)
ad_1369,Digicode
ad_1369,Interphone
ad_964,62 m²
ad_964,3 pièces
ad_964,2 chambres
ad_964,1er étage (sur 6)
ad_1460,65 m²
ad_1460,3 pièces
ad_1460,1 chambre
ad_1460,Exposé Est
ad_1460,1 salle de bain
ad_1460,1 WC
ad_1460,Fibre : déployée*
ad_1460,5e étage (sur 6)
ad_1460,Construit en 1900
ad_1460,Ascenseur
ad_1460,Digicode
ad_1460,Interphone
ad_1460,Gardien
ad_1924,89 m²
ad_1924,4 pièces
ad_1924,3 chambres
ad_1924,1 cave
ad_1924,2 salles d’eau
ad_1924,1 WC
ad_1924,3e étage (sur 5)
ad_1924,Ascenseur
ad_1499,90 m²
ad_1499,4 pièces
ad_1499,3 chambres
ad_1499,Terrasse
ad_1499,Balcon
ad_1499,Jardin
ad_1499,Exposé Sud Est
ad_1499,Cave
ad_1499,1 salle de bain
ad_1499,1 salle d’eau
ad_1499,1 place de parking
ad_1499,Rez-de-chaussée
ad_1365,50 m²
ad_1365,2 pièces
ad_1365,1 chambre
ad_1365,Chauffage : gaz individuel
ad_1365,Cave
ad_1365,1 salle d’eau
ad_1365,1 WC
ad_1365,Fibre : déployée*
ad_1365,Rez-de-chaussée
ad_1365,Ascenseur
ad_1365,Gardien
ad_627,"78,21 m²"
ad_627,3 pièces
ad_627,2 chambres
ad_627,Exposé Est Ouest
ad_627,Cave
ad_627,1 salle de bain
ad_627,1 WC
ad_627,Fibre : déployée*
ad_627,3e étage (sur 6)
ad_627,Construit en 1868
